id_equipo;nombre_equipo;nombre_fotmob;nombre_transfermarkt;alias;nombre_fotmob_clasificacion;nombre_fotmob_clas_alt
741327;Academia Deportiva Cantolao;Academia Cantolao;Academia Deportiva Cantolao;ADC;Academia Cantolao;
1573153;Club Juan Pablo II College;ADC Juan Pablo II;Club Juan Pablo II College;JP2;ADC Juan Pablo II;Juan Pablo II College
4410;Alianza Atlético Sullana;Alianza Atletico;Alianza Atlético Sullana;AAS;Alianza Atletico;
6398;Club Alianza Lima;Alianza Lima;Club Alianza Lima;AL;Alianza Lima;
314221;Alianza Universidad;Alianza Universidad;Alianza Universidad;AU;Alianza Universidad;
1104719;Asociación Deportiva Tarma;Asociacion Deportiva Tarma;Asociación Deportiva Tarma;ADT;Asociacion Deportiva Tarma;
920789;Club Atlético Grau;Atletico Grau;Club Atlético Grau;AG;Atletico Grau;
165147;Ayacucho FC;Ayacucho FC;Ayacucho FC;AYA;Ayacucho FC;
916336;Deportivo Binacional;Binacional;Deportivo Binacional;BIN;Deportivo Binacional;
536944;Carlos A. Mannucci;Carlos A. Mannucci;Carlos A. Mannucci;CAM;Carlos A. Mannucci;
920792;FC Carlos Stein;Carlos Stein;FC Carlos Stein;CS;Carlos Stein;
425692;Universidad Técnica de Cajamarca;CD UT Cajamarca;Universidad Técnica de Cajamarca;UTC;CD UT Cajamarca;
1845;Club Cienciano;Cienciano;Club Cienciano;CIE;Cienciano;
536945;Comerciantes Unidos;Comerciantes Unidos;Comerciantes Unidos;CU;Comerciantes Unidos;
305171;Cusco FC;Cusco FC;Cusco FC;CUS;Cusco FC;
920788;Deportivo Garcilaso;Deportivo Garcilaso;Deportivo Garcilaso;DG;Deportivo Garcilaso;
1104627;Deportivo Llacuabamba;Deportivo Llacuabamba;Deportivo Llacuabamba;DLL;Deportivo Llacuabamba;
49556;Deportivo Municipal;Deportivo Municipal;Deportivo Municipal;DM;Deportivo Municipal;
4417;FBC Melgar;FBC Melgar;FBC Melgar;MEL;FBC Melgar;
741328;CD Los Chankas;Los Chankas;CD Los Chankas;LCH;Los Chankas;
4412;Sport Boys Association;Sport Boys;Sport Boys Association;SBA;Sport Boys;
165148;Sport Huancayo;Sport Huancayo;Sport Huancayo;SHO;Sport Huancayo;
1848;Club Sporting Cristal;Sporting Cristal;Club Sporting Cristal;SC;Sporting Cristal;
244239;CD Unión Comercio;Union Comercio;CD Unión Comercio;UC;Union Comercio;
4415;Universidad César Vallejo;Universidad Cesar Vallejo;Universidad César Vallejo;UCV;Universidad Cesar Vallejo;
4418;Universidad San Martín de Porres;Universidad San Martin;Universidad San Martín de Porres;USMP;Universidad San Martin;
4409;Universitario de Deportes;Universitario de Deportes;Universitario de Deportes;U;Universitario de Deportes;Universitario
1573140;Club Deportivo Moquegua;Club Deportivo Moquegua;Deportivo Moquegua;CDM;Club Deportivo Moquegua;
1696744;FC Cajamarca;FC Cajamarca;FC Cajamarca;FCJ;FC Cajamarca;